8/11/2020
10:51:23 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.000000	1.738131	1.733144	0.353534	0.312557
0.002000	1.738131	1.723025	0.353534	0.281893
0.004000	1.641921	1.723025	0.052878	0.281893
0.006000	1.525456	1.621835	-0.311074	-0.024743
0.008000	1.560902	1.556061	-0.200306	-0.224057
0.010000	1.652048	1.601597	0.084526	-0.086071
0.012000	1.738131	1.707846	0.353534	0.235898
0.014000	1.743195	1.723025	0.369358	0.281893
0.016000	1.707749	1.753382	0.258590	0.373884
0.018000	1.581157	1.642073	-0.137010	0.036584
0.020000	1.540647	1.571240	-0.263602	-0.178062
0.022000	1.586221	1.571240	-0.121186	-0.178062
0.024000	1.682431	1.647132	0.179470	0.051916
0.026000	1.743195	1.712906	0.369358	0.251230
0.028000	1.738131	1.748322	0.353534	0.358552
0.030000	1.621666	1.682549	-0.010418	0.159239
0.032000	1.545711	1.591478	-0.247778	-0.116735
0.034000	1.576093	1.591478	-0.152834	-0.116735
0.036000	1.636857	1.581359	0.037054	-0.147398
0.038000	1.738131	1.687608	0.353534	0.174570
0.040000	1.743195	1.738203	0.369358	0.327889
0.042000	1.682431	1.728084	0.179470	0.297225
0.044000	1.596348	1.626894	-0.089538	-0.009412
0.046000	1.540647	1.601597	-0.263602	-0.086071
0.048000	1.560902	1.535823	-0.200306	-0.285385
0.050000	1.707749	1.652192	0.258590	0.067248
0.052000	1.738131	1.738203	0.353534	0.327889
0.054000	1.733067	1.728084	0.337710	0.297225
0.056000	1.626730	1.682549	0.005406	0.159239
0.058000	1.530520	1.616775	-0.295250	-0.040075
0.060000	1.560902	1.551002	-0.200306	-0.239389
0.062000	1.662176	1.611716	0.116174	-0.055407
0.064000	1.738131	1.723025	0.353534	0.281893
0.066000	1.738131	1.712906	0.353534	0.251230
0.068000	1.687494	1.738203	0.195294	0.327889
0.070000	1.565966	1.642073	-0.184482	0.036584
0.072000	1.545711	1.566180	-0.247778	-0.193394
0.074000	1.596348	1.561121	-0.089538	-0.208726
0.076000	1.702685	1.662311	0.242766	0.097911
0.078000	1.738131	1.707846	0.353534	0.235898
0.080000	1.733067	1.753382	0.337710	0.373884
0.082000	1.611539	1.672430	-0.042066	0.128575
0.084000	1.535584	1.581359	-0.279426	-0.147398
0.086000	1.576093	1.586418	-0.152834	-0.132066
0.088000	1.646985	1.601597	0.068702	-0.086071
0.090000	1.738131	1.677489	0.353534	0.143907
0.092000	1.738131	1.738203	0.353534	0.327889
0.094000	1.667239	1.728084	0.131998	0.297225
0.096000	1.576093	1.611716	-0.152834	-0.055407
0.098000	1.545711	1.601597	-0.247778	-0.086071
0.100000	1.565966	1.551002	-0.184482	-0.239389
0.102000	1.728004	1.652192	0.321886	0.067248
0.104000	1.743195	1.738203	0.369358	0.327889
0.106000	1.728004	1.738203	0.321886	0.327889
0.108000	1.621666	1.657251	-0.010418	0.082579
0.110000	1.535584	1.616775	-0.279426	-0.040075
0.112000	1.545711	1.545942	-0.247778	-0.254721
0.114000	1.672303	1.616775	0.147822	-0.040075
0.116000	1.743195	1.728084	0.369358	0.297225
0.118000	1.738131	1.717965	0.353534	0.266561
0.120000	1.682431	1.728084	0.179470	0.297225
0.122000	1.550775	1.647132	-0.231954	0.051916
0.124000	1.550775	1.566180	-0.231954	-0.193394
0.126000	1.606475	1.566180	-0.057890	-0.193394
0.128000	1.717876	1.677489	0.290238	0.143907
0.130000	1.738131	1.712906	0.353534	0.251230
0.132000	1.728004	1.753382	0.321886	0.373884
0.134000	1.606475	1.672430	-0.057890	0.128575
0.136000	1.540647	1.581359	-0.263602	-0.147398
0.138000	1.576093	1.571240	-0.152834	-0.178062
0.140000	1.662176	1.621835	0.116174	-0.024743
0.142000	1.733067	1.682549	0.337710	0.159239
0.144000	1.738131	1.738203	0.353534	0.327889
0.146000	1.657112	1.728084	0.100350	0.297225
0.148000	1.560902	1.606656	-0.200306	-0.070739
0.150000	1.555839	1.596537	-0.216130	-0.101403
0.152000	1.581157	1.556061	-0.137010	-0.224057
0.154000	1.728004	1.647132	0.321886	0.051916
0.156000	1.743195	1.738203	0.369358	0.327889
0.158000	1.722940	1.738203	0.306062	0.327889
0.160000	1.611539	1.647132	-0.042066	0.051916
0.162000	1.535584	1.606656	-0.279426	-0.070739
0.164000	1.545711	1.551002	-0.247778	-0.239389
0.166000	1.677367	1.621835	0.163646	-0.024743
0.168000	1.738131	1.733144	0.353534	0.312557
0.170000	1.738131	1.723025	0.353534	0.281893
0.172000	1.662176	1.712906	0.116174	0.251230
0.174000	1.550775	1.642073	-0.231954	0.036584
0.176000	1.545711	1.571240	-0.247778	-0.178062
0.178000	1.616603	1.571240	-0.026242	-0.178062
0.180000	1.738131	1.682549	0.353534	0.159239
0.182000	1.743195	1.717965	0.369358	0.266561
0.184000	1.733067	1.738203	0.337710	0.327889
0.186000	1.586221	1.667370	-0.121186	0.113243
0.188000	1.530520	1.576299	-0.295250	-0.162730
0.190000	1.571030	1.556061	-0.168658	-0.224057
0.192000	1.682431	1.642073	0.179470	0.036584
0.194000	1.733067	1.702787	0.337710	0.220566
0.196000	1.733067	1.743263	0.337710	0.343221
0.198000	1.641921	1.717965	0.052878	0.266561
0.200000	1.550775	1.611716	-0.231954	-0.055407
0.202000	1.565966	1.591478	-0.184482	-0.116735
0.204000	1.611539	1.581359	-0.042066	-0.147398
