8/7/2020
11:21:36 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.000000	2.690103	1.849512	3.328446	0.665189
0.002000	0.933006	1.854572	-2.162481	0.680521
0.004000	1.712813	1.778679	0.274414	0.450544
0.006000	0.781096	1.611716	-2.637201	-0.055407
0.008000	1.803959	1.373919	0.559246	-0.776004
0.010000	2.259690	1.449811	1.983406	-0.546026
0.012000	1.697622	1.986119	0.226942	1.079149
0.014000	1.469756	1.773620	-0.485138	0.435212
0.016000	1.307718	1.778679	-0.991505	0.450544
0.018000	1.540647	1.470049	-0.263602	-0.484699
0.020000	1.971060	1.267669	1.081438	-1.097972
0.022000	2.391346	1.955762	2.394830	0.987158
0.024000	1.049471	1.824215	-1.798529	0.588530
0.026000	1.717876	1.824215	0.290238	0.588530
0.028000	0.781096	1.571240	-2.637201	-0.178062
0.030000	1.955869	1.298026	1.033966	-1.005981
0.032000	2.462237	1.631954	2.616366	0.005920
0.034000	1.287464	1.925405	-1.054801	0.895167
0.036000	1.606475	1.758441	-0.057890	0.389216
0.038000	1.176063	1.788798	-1.402929	0.481207
0.040000	1.586221	1.389097	-0.121186	-0.730008
0.042000	2.057143	1.333443	1.350446	-0.898658
0.044000	2.112843	1.965881	1.524510	1.017822
0.046000	1.267209	1.783739	-1.118097	0.465875
0.048000	1.738131	1.910227	0.353534	0.849171
0.050000	0.801350	1.475109	-2.573905	-0.469367
0.052000	2.269817	1.313205	2.015054	-0.959986
0.054000	2.360964	1.778679	2.299886	0.450544
0.056000	1.165935	1.854572	-1.434577	0.680521
0.058000	1.479883	1.793858	-0.453490	0.496539
0.060000	0.816541	1.723025	-2.526433	0.281893
0.062000	1.884978	1.318264	0.812430	-0.944654
0.064000	1.905232	1.434633	0.875726	-0.592022
0.066000	2.026761	1.925405	1.255502	0.895167
0.068000	1.272273	1.753382	-1.102273	0.373884
0.070000	1.738131	1.965881	0.353534	1.017822
0.072000	0.927942	1.373919	-2.178305	-0.776004
0.074000	2.143225	1.348621	1.619454	-0.852663
0.076000	2.264754	1.864691	1.999230	0.711185
0.078000	1.155808	1.783739	-1.466225	0.465875
0.080000	1.596348	1.889989	-0.089538	0.787844
0.082000	0.320301	1.601597	-4.077185	-0.086071
0.084000	2.259690	1.313205	1.983406	-0.959986
0.086000	1.915360	1.551002	0.907374	-0.239389
0.088000	1.940678	1.884929	0.986494	0.772512
0.090000	1.586221	1.793858	-0.121186	0.496539
0.092000	1.414056	1.950703	-0.659202	0.971826
0.094000	1.702685	1.298026	0.242766	-1.005981
0.096000	1.869787	1.414395	0.764958	-0.653349
0.098000	2.259690	1.884929	1.983406	0.772512
0.100000	1.024152	1.763501	-1.877649	0.404548
0.102000	1.712813	1.965881	0.274414	1.017822
0.104000	0.289919	1.459930	-4.172129	-0.515362
0.106000	2.239435	1.373919	1.920110	-0.776004
0.108000	2.107780	1.642073	1.508686	0.036584
0.110000	1.565966	1.814096	-0.184482	0.557866
0.112000	1.839405	1.844453	0.670014	0.649857
0.114000	0.851987	1.874810	-2.415665	0.741848
0.116000	2.047015	1.308145	1.318798	-0.975317
0.118000	1.844468	1.464990	0.685838	-0.500030
0.120000	2.254626	1.864691	1.967582	0.711185
0.122000	1.338100	1.753382	-0.896561	0.373884
0.124000	1.571030	2.031655	-0.168658	1.217135
0.126000	0.836796	1.343562	-2.463137	-0.867995
0.128000	2.128034	1.429573	1.571982	-0.607353
0.130000	2.224244	1.692668	1.872638	0.189902
0.132000	1.500138	1.753382	-0.390194	0.373884
0.134000	1.738131	1.910227	0.353534	0.849171
0.136000	0.715268	1.702787	-2.842913	0.220566
0.138000	2.133098	1.389097	1.587806	-0.730008
0.140000	1.809022	1.495347	0.575070	-0.408039
0.142000	1.996379	1.819155	1.160558	0.573198
0.144000	1.459629	1.819155	-0.516786	0.573198
0.146000	1.469756	2.062012	-0.485138	1.309126
0.148000	1.196317	1.308145	-1.339633	-0.975317
0.150000	2.026761	1.470049	1.255502	-0.484699
0.152000	2.203989	1.728084	1.809342	0.297225
0.154000	1.581157	1.748322	-0.137010	0.358552
0.156000	1.257081	1.986119	-1.149745	1.079149
0.158000	0.512721	1.510525	-3.475873	-0.362044
0.160000	2.067270	1.424514	1.382094	-0.622685
0.162000	1.768513	1.510525	0.448478	-0.362044
0.164000	2.062206	1.753382	1.366270	0.373884
0.166000	1.510265	1.900108	-0.358546	0.818508
0.168000	1.378610	1.930465	-0.769969	0.910499
0.170000	1.586221	1.328383	-0.121186	-0.913990
0.172000	1.895105	1.490287	0.844078	-0.423371
0.174000	2.067270	1.717965	1.382094	0.266561
0.176000	1.591284	1.803977	-0.105362	0.527203
0.178000	1.231763	2.046833	-1.228865	1.263131
0.180000	0.543103	1.389097	-3.380929	-0.730008
0.182000	2.097652	1.475109	1.477038	-0.469367
0.184000	1.626730	1.535823	0.005406	-0.285385
0.186000	2.178671	1.748322	1.730222	0.358552
0.188000	1.454565	1.965881	-0.532610	1.017822
0.190000	1.054534	1.763501	-1.782705	0.404548
0.192000	1.950806	1.404276	1.018142	-0.684013
0.194000	1.859659	1.505466	0.733310	-0.377376
0.196000	2.128034	1.667370	1.571982	0.113243
0.198000	1.373546	1.889989	-0.785793	0.787844
0.200000	1.307718	2.001298	-0.991505	1.125144
0.202000	0.887433	1.353681	-2.304897	-0.837331
0.204000	2.102716	1.500406	1.492862	-0.392708
0.206000	1.606475	1.495347	-0.057890	-0.408039
0.208000	2.244499	1.819155	1.935934	0.573198
0.210000	1.363419	1.981060	-0.817441	1.063817
0.212000	0.877306	1.591478	-2.336545	-0.116735
0.214000	2.112843	1.470049	1.524510	-0.484699
0.216000	1.692558	1.500406	0.211118	-0.392708
0.218000	2.421728	1.707846	2.489774	0.235898
0.220000	1.403928	1.970941	-0.690849	1.033153
0.222000	1.393801	1.915286	-0.722497	0.864503
0.224000	1.307718	1.384038	-0.991505	-0.745340
0.226000	2.052079	1.525704	1.334622	-0.316048
0.228000	1.824214	1.464990	0.622542	-0.500030
