StartTime: 2020-12-15 14:02:19.073
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 14:02:19.073	-0.0148	-0.0233	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.26	4.07	304	4527	-1818
0x50	 14:02:19.073	-0.0148	-0.0233	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.26	4.07	304	4528	-1817
0x50	 14:02:19.101	-0.0153	-0.0227	1.0001	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.23	4.07	304	4527	-1817
0x50	 14:02:19.101	-0.0153	-0.0227	1.0001	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.23	4.07	304	4526	-1818
0x50	 14:02:19.106	-0.0175	-0.0231	1.0006	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.25	4.07	305	4526	-1817
0x50	 14:02:19.116	-0.0175	-0.0231	1.0006	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.25	4.07	305	4527	-1817
0x50	 14:02:19.120	-0.0172	-0.0222	1.0012	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.26	4.07	305	4527	-1818
0x50	 14:02:19.123	-0.0172	-0.0222	1.0012	0.0000	0.0000	0.0000	-1.5985	0.8569	36.6394	30.26	4.07	305	4525	-1817
0x50	 14:02:19.136	-0.0155	-0.0231	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8569	36.6394	30.27	4.07	304	4525	-1818
0x50	 14:02:19.145	-0.0155	-0.0231	1.0004	0.0000	0.0000	0.0000	-1.5985	0.8569	36.6394	30.27	4.07	304	4526	-1818
0x50	 14:02:19.145	-0.0149	-0.0238	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.29	4.07	305	4527	-1816
0x50	 14:02:19.232	-0.0149	-0.0238	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6394	30.29	4.07	305	4527	-1816
0x50	 14:02:19.232	-0.0140	-0.0231	0.9994	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4528	-1816
0x50	 14:02:19.232	-0.0140	-0.0231	0.9994	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4528	-1815
0x50	 14:02:19.232	-0.0156	-0.0227	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.30	4.07	305	4528	-1816
0x50	 14:02:19.232	-0.0156	-0.0227	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.30	4.07	305	4528	-1816
0x50	 14:02:19.232	-0.0164	-0.0220	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.25	4.07	305	4527	-1817
0x50	 14:02:19.234	-0.0164	-0.0220	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.25	4.07	305	4526	-1817
0x50	 14:02:19.243	-0.0170	-0.0220	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.28	4.07	305	4526	-1818
0x50	 14:02:19.246	-0.0170	-0.0220	0.9998	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.28	4.07	305	4526	-1818
